Time;SerGo;SolarStation;LikePool;Buka;Hohla;Valera
05.03.2025 18:23;450;1183;626;1013;1082;144
05.03.2025 18:25;450;1183;621;1013;1080;143
05.03.2025 18:26;450;1183;619;1013;1080;142
05.03.2025 18:27;450;1183;618;1013;1079;143
05.03.2025 18:28;450;1183;620;1013;1081;143
05.03.2025 18:29;450;1183;619;1013;1081;142
05.03.2025 18:30;450;1182;616;1012;1079;140
05.03.2025 18:31;450;1182;620;1012;1080;142
05.03.2025 18:32;450;1182;619;1011;1080;143
05.03.2025 18:33;450;1182;618;1011;1077;142
05.03.2025 18:34;450;1182;619;1011;1078;143
05.03.2025 18:35;450;1182;610;1010;1077;143
05.03.2025 18:36;450;1182;610;1010;1077;143
05.03.2025 18:37;450;1182;610;1010;1077;143
05.03.2025 18:38;450;1182;609;1010;1077;143
05.03.2025 18:39;450;1181;608;1010;1077;143
05.03.2025 18:40;450;1181;608;1010;1075;142
05.03.2025 18:41;450;1181;607;1010;1075;141
05.03.2025 18:43;450;1181;608;1009;1075;141
05.03.2025 18:44;450;1181;608;1009;1074;141
05.03.2025 18:45;450;1181;607;1010;1074;141
05.03.2025 18:46;450;1181;604;1009;1074;141
05.03.2025 18:47;450;1180;605;1009;1074;141
05.03.2025 18:48;450;1180;608;1009;1074;141
05.03.2025 18:49;450;1180;607;1009;1074;141
05.03.2025 18:50;450;1180;608;1009;1074;141
05.03.2025 18:51;450;1180;583;1007;1073;142
05.03.2025 18:52;450;1180;583;1007;1073;142
05.03.2025 18:53;450;1180;582;1007;1073;142
05.03.2025 18:54;450;1180;582;1007;1072;142
05.03.2025 18:55;450;1180;582;1007;1072;142
05.03.2025 18:56;450;1180;582;1007;1072;142
05.03.2025 18:57;450;1180;582;1007;1072;141
05.03.2025 18:58;450;1180;580;1007;1072;141
05.03.2025 18:59;450;1180;579;1007;1072;141
05.03.2025 19:00;450;1180;579;1007;1072;141
05.03.2025 19:01;450;1180;581;1007;1072;141
05.03.2025 19:02;450;1180;580;1007;1072;141
05.03.2025 19:03;450;1180;575;1007;1072;141
05.03.2025 19:04;450;1180;577;1007;1072;140
05.03.2025 19:05;450;1180;580;1007;1072;141
05.03.2025 19:06;450;1180;579;1007;1072;141
05.03.2025 19:07;450;1180;580;1007;1072;141
05.03.2025 19:08;450;1180;580;1007;1072;141
05.03.2025 19:09;450;1180;578;1007;1072;141
05.03.2025 19:10;450;1180;579;1007;1072;141
05.03.2025 19:11;450;1180;580;1007;1072;141
05.03.2025 19:12;450;1180;579;1007;1072;141
05.03.2025 19:13;450;1180;580;1007;1072;141
05.03.2025 19:14;450;1180;579;1007;1072;141
05.03.2025 19:15;450;1180;580;1007;1072;141
05.03.2025 19:16;450;1180;567;1005;1072;140
05.03.2025 19:17;449;1180;566;1005;1072;141
05.03.2025 19:18;450;1180;567;1005;1072;140
05.03.2025 19:19;449;1180;567;1005;1072;140
05.03.2025 19:20;449;1180;567;1005;1072;140
05.03.2025 19:21;449;1180;567;1005;1072;141
05.03.2025 19:22;449;1180;567;1005;1072;141
05.03.2025 19:23;449;1180;567;1005;1072;141
05.03.2025 19:24;449;1180;567;1005;1072;141
05.03.2025 19:25;449;1180;567;1005;1072;141
05.03.2025 19:26;449;1180;567;1005;1072;141
05.03.2025 19:27;449;1180;566;1005;1072;141
05.03.2025 19:28;449;1180;567;1005;1072;141
05.03.2025 19:29;449;1180;567;1004;1072;141
05.03.2025 19:30;449;1180;566;1004;1071;140
05.03.2025 19:31;449;1180;566;1004;1071;141
05.03.2025 19:32;449;1180;566;1004;1071;141
05.03.2025 19:33;449;1180;581;1004;1071;133
05.03.2025 19:34;449;1180;581;1004;1071;134
05.03.2025 19:35;449;1179;581;1004;1071;133
05.03.2025 19:36;449;1179;573;1004;1070;134
05.03.2025 19:37;449;1179;573;1004;1070;133
05.03.2025 19:38;449;1179;573;1003;1070;133
05.03.2025 19:39;449;1179;573;1003;1069;133
05.03.2025 19:40;449;1179;572;1003;1069;131
05.03.2025 19:41;449;1179;572;1003;1069;131
05.03.2025 19:42;449;1179;567;1002;1068;132
05.03.2025 19:43;449;1179;570;1002;1068;132
05.03.2025 19:44;449;1179;570;1002;1068;132
05.03.2025 19:45;449;1179;570;1002;1068;132
05.03.2025 19:46;448;1179;560;1000;1068;132
05.03.2025 19:47;449;1179;560;1001;1068;131
05.03.2025 19:48;449;1179;560;1001;1068;131
05.03.2025 19:49;449;1179;560;1000;1068;131
05.03.2025 19:50;449;1179;560;999;1068;131
05.03.2025 19:51;449;1179;560;1000;1068;131
05.03.2025 19:52;448;1179;558;999;1067;131
05.03.2025 19:53;449;1179;560;1000;1068;131
05.03.2025 19:54;449;1179;559;999;1067;131
05.03.2025 19:55;449;1179;559;999;1068;131
05.03.2025 19:56;448;1179;559;1000;1068;131
05.03.2025 19:57;448;1179;559;1000;1068;131
05.03.2025 19:58;448;1179;559;999;1068;131
05.03.2025 19:59;448;1179;559;1000;1068;131
05.03.2025 20:00;448;1179;559;999;1068;130
05.03.2025 20:01;448;1179;559;1000;1068;129
05.03.2025 20:02;448;1179;559;999;1068;130
05.03.2025 20:03;448;1179;559;1000;1068;129
05.03.2025 20:04;447;1179;557;999;1067;129
05.03.2025 20:06;448;1179;559;999;1068;129
05.03.2025 20:07;448;1179;558;999;1067;129
05.03.2025 20:08;448;1179;559;999;1068;129
05.03.2025 20:09;448;1179;553;998;1067;129
05.03.2025 20:10;448;1179;553;999;1067;129
05.03.2025 20:11;448;1179;553;998;1067;127
05.03.2025 20:12;447;1179;550;997;1067;126
05.03.2025 20:13;448;1179;551;998;1067;127
05.03.2025 20:14;448;1179;551;995;1066;128
05.03.2025 20:15;448;1178;551;995;1066;127
05.03.2025 20:16;448;1178;551;995;1066;129
05.03.2025 20:17;448;1176;551;995;1064;127
05.03.2025 20:18;448;1175;550;995;1064;128
05.03.2025 20:19;448;1175;550;995;1064;127
05.03.2025 20:20;448;1175;550;995;1064;127
05.03.2025 20:21;448;1175;547;995;1064;137
05.03.2025 20:22;448;1175;540;995;1064;127
05.03.2025 20:23;448;1175;540;995;1064;128
05.03.2025 20:24;448;1175;540;995;1064;128
05.03.2025 20:25;448;1175;540;995;1064;127
05.03.2025 20:26;448;1175;540;995;1064;127
05.03.2025 20:27;448;1175;540;995;1064;128
05.03.2025 20:28;448;1175;540;995;1064;127
